gender,occupation,city_category,stay_years,marital_status,purchase_amount,quantity,age_group,product_category,payment_method
F,17,A,2,0,625.08,3,55+,Roupas,Boleto
M,3,A,3,1,186.89,4,0-17,Beleza,Cartao_Debito
F,15,C,0,0,552.35,5,51-55,Esportes,Cartao_Debito
F,1,B,0,0,452.68,1,0-17,Casa,Dinheiro
F,10,B,2,0,321.22,5,18-25,Beleza,Cartao_Credito
F,4,A,3,1,253.56,5,18-25,Eletronicos,Cartao_Debito
M,1,B,4,1,543.49,2,51-55,Esportes,Dinheiro
M,13,B,4,1,313.71,5,46-50,Eletronicos,PIX
F,11,B,0,1,77.01,5,36-45,Alimentos,Boleto
F,11,C,0,0,150.45,5,26-35,Esportes,Dinheiro
F,13,C,0,1,124.49,1,46-50,Casa,Boleto
F,19,A,0,0,37.87,1,51-55,Beleza,Cartao_Credito
F,20,C,4,1,499.25,4,46-50,Eletronicos,PIX
F,11,C,3,0,62.14,1,26-35,Beleza,Boleto
F,10,B,0,0,195.37,1,26-35,Roupas,Cartao_Debito
F,12,C,2,0,270.36,4,51-55,Roupas,Dinheiro
F,5,C,3,0,195.36,1,18-25,Roupas,Cartao_Debito
M,1,B,1,1,211.02,4,0-17,Casa,PIX
M,19,B,0,0,439.93,3,55+,Brinquedos,Boleto
F,12,C,1,0,85.13,3,36-45,Beleza,Dinheiro
F,2,B,4,1,116.92,3,36-45,Beleza,Cartao_Debito
M,18,A,4,0,293.89,2,51-55,Alimentos,Cartao_Credito
F,14,B,4,1,122.96,1,46-50,Esportes,Boleto
F,8,B,1,0,172.38,4,0-17,Casa,PIX
M,14,C,0,1,99.21,5,55+,Roupas,Dinheiro
M,6,C,0,0,568.53,3,18-25,Esportes,Cartao_Credito
M,4,B,1,1,26.13,3,18-25,Brinquedos,PIX
F,8,C,3,1,95.91,1,26-35,Beleza,PIX
F,14,B,4,0,119.5,5,46-50,Beleza,PIX
M,0,C,1,1,118.3,4,0-17,Eletronicos,Boleto
M,8,B,1,1,258.4,1,36-45,Esportes,PIX
M,20,C,3,1,84.02,4,55+,Roupas,Dinheiro
M,13,B,2,0,79.11,5,46-50,Brinquedos,PIX
M,6,C,0,1,369.15,3,51-55,Eletronicos,Boleto
M,4,C,2,0,358.0,5,18-25,Eletronicos,Cartao_Credito
F,16,C,3,0,74.84,5,18-25,Casa,PIX
F,9,B,0,0,297.23,4,46-50,Beleza,Cartao_Debito
F,11,C,1,1,39.99,2,36-45,Beleza,Cartao_Debito
M,14,B,1,0,731.32,5,46-50,Eletronicos,Cartao_Debito
F,17,B,3,0,160.4,2,26-35,Alimentos,Cartao_Credito
M,11,B,0,1,467.79,4,51-55,Brinquedos,Dinheiro
M,7,A,4,1,299.36,2,36-45,Eletronicos,PIX
M,17,A,1,0,857.75,1,55+,Beleza,PIX
M,19,B,4,0,147.01,5,36-45,Alimentos,Cartao_Debito
F,6,B,4,1,401.72,3,18-25,Eletronicos,Cartao_Credito
M,20,B,2,1,179.39,2,51-55,Eletronicos,Dinheiro
M,20,B,1,0,212.89,3,55+,Eletronicos,Dinheiro
M,0,B,1,1,94.75,4,0-17,Casa,PIX
F,7,A,1,0,85.26,5,26-35,Roupas,Cartao_Credito
M,0,A,4,1,367.88,1,18-25,Eletronicos,PIX
F,14,A,4,0,642.73,5,51-55,Brinquedos,Cartao_Credito
F,11,B,2,1,447.67,5,36-45,Brinquedos,PIX
M,10,A,2,1,272.58,1,18-25,Eletronicos,PIX
F,6,A,3,0,505.69,5,18-25,Beleza,Cartao_Credito
M,2,A,4,1,642.72,1,0-17,Esportes,Boleto
M,3,A,3,1,77.1,1,26-35,Brinquedos,Cartao_Credito
F,3,C,1,1,110.57,2,18-25,Beleza,Dinheiro
F,5,C,3,0,250.58,3,26-35,Casa,PIX
M,16,B,4,0,260.38,4,36-45,Eletronicos,Dinheiro
F,5,B,1,1,219.54,4,26-35,Beleza,Dinheiro
F,19,A,2,1,119.57,5,36-45,Casa,Dinheiro
M,4,B,4,1,200.89,4,18-25,Beleza,PIX
M,0,C,3,1,391.36,3,0-17,Eletronicos,Cartao_Credito
F,0,C,1,1,64.44,2,46-50,Alimentos,Cartao_Debito
M,10,B,2,0,261.39,2,51-55,Alimentos,Dinheiro
M,4,A,1,0,210.7,4,51-55,Esportes,Boleto
M,8,A,0,0,111.71,3,18-25,Roupas,Cartao_Debito
F,7,B,2,1,58.96,2,36-45,Beleza,Cartao_Debito
F,8,C,0,1,226.03,1,26-35,Alimentos,PIX
M,18,C,3,1,99.84,5,46-50,Casa,Cartao_Debito
F,1,C,4,0,671.24,3,18-25,Roupas,Cartao_Credito
M,3,B,4,1,266.9,5,18-25,Eletronicos,Cartao_Credito
M,3,A,4,1,464.53,4,26-35,Eletronicos,Boleto
F,17,B,3,1,298.47,1,26-35,Roupas,Dinheiro
F,1,C,3,1,235.99,2,18-25,Eletronicos,Boleto
M,18,B,0,1,174.31,1,51-55,Esportes,PIX
F,15,B,2,1,291.93,3,46-50,Eletronicos,Dinheiro
F,12,B,0,0,171.69,5,36-45,Brinquedos,PIX
F,8,B,2,0,234.37,4,26-35,Beleza,PIX
M,9,A,2,1,337.8,1,36-45,Eletronicos,Cartao_Credito
M,3,C,3,1,94.86,2,18-25,Roupas,PIX
F,19,A,4,1,31.7,3,51-55,Alimentos,Boleto
M,9,A,3,1,214.78,3,36-45,Esportes,Dinheiro
M,17,B,2,0,118.62,4,55+,Esportes,Dinheiro
F,0,C,3,0,883.27,4,0-17,Beleza,Cartao_Credito
M,9,B,2,0,152.29,2,26-35,Eletronicos,PIX
F,2,A,4,1,87.25,4,55+,Casa,Cartao_Debito
M,8,C,3,0,255.19,5,36-45,Eletronicos,Dinheiro
F,9,C,0,1,175.12,1,36-45,Beleza,Dinheiro
F,0,B,4,0,301.82,1,0-17,Roupas,Cartao_Debito
M,7,B,3,0,69.91,4,26-35,Casa,Dinheiro
F,3,C,2,0,227.49,1,0-17,Beleza,Cartao_Debito
M,4,B,0,1,187.8,4,26-35,Casa,Cartao_Debito
F,5,B,4,0,514.5,5,26-35,Roupas,Boleto
M,11,B,3,0,37.56,2,46-50,Eletronicos,Cartao_Debito
M,3,C,0,0,404.27,2,18-25,Eletronicos,Cartao_Debito
F,20,C,4,0,81.71,1,51-55,Beleza,Dinheiro
F,8,B,4,0,163.8,1,26-35,Alimentos,PIX
F,2,B,4,0,277.27,2,0-17,Alimentos,PIX
M,7,A,0,1,277.11,5,36-45,Eletronicos,PIX
F,9,A,0,0,78.7,3,26-35,Roupas,Cartao_Debito
M,10,A,0,1,127.68,5,26-35,Casa,Cartao_Debito
F,8,C,1,0,21.27,5,18-25,Beleza,Cartao_Debito
F,20,C,3,1,362.38,3,51-55,Eletronicos,Boleto
F,19,A,4,1,81.93,5,55+,Alimentos,PIX
F,9,A,0,0,564.62,1,36-45,Eletronicos,Cartao_Credito
M,16,C,3,1,189.58,5,51-55,Beleza,Dinheiro
F,7,A,2,1,209.09,2,26-35,Beleza,PIX
M,16,C,2,1,111.43,2,51-55,Beleza,Cartao_Debito
F,17,C,1,1,218.64,3,51-55,Beleza,Cartao_Credito
F,3,B,4,0,224.51,3,18-25,Beleza,PIX
F,1,A,1,0,33.25,4,46-50,Brinquedos,Dinheiro
M,19,C,2,1,355.99,2,55+,Casa,Dinheiro
M,2,A,2,1,127.58,4,18-25,Brinquedos,Cartao_Credito
M,10,B,2,1,140.1,1,36-45,Eletronicos,PIX
M,19,A,1,1,42.33,1,55+,Alimentos,Dinheiro
F,5,B,0,1,183.67,5,26-35,Roupas,PIX
F,10,A,4,0,393.1,4,18-25,Esportes,Boleto
M,5,C,0,1,162.2,1,26-35,Alimentos,PIX
M,3,A,4,1,279.26,1,0-17,Esportes,PIX
F,2,C,4,0,211.26,5,18-25,Beleza,Dinheiro
F,9,B,3,0,190.56,3,26-35,Roupas,Cartao_Credito
F,15,C,2,1,142.17,4,46-50,Esportes,PIX
M,13,C,4,0,168.89,2,18-25,Roupas,PIX
F,5,B,2,1,156.88,2,36-45,Brinquedos,PIX
M,9,B,1,1,219.37,5,36-45,Casa,PIX
F,3,B,3,1,334.53,2,51-55,Eletronicos,Cartao_Credito
M,11,B,2,1,443.74,3,26-35,Casa,Cartao_Credito
F,12,C,0,0,171.17,3,18-25,Beleza,PIX
F,18,B,2,0,229.39,5,51-55,Beleza,Boleto
M,12,C,2,0,74.58,3,26-35,Beleza,Cartao_Debito
M,7,B,3,0,190.82,5,46-50,Casa,Cartao_Debito
M,6,C,2,1,361.27,4,26-35,Casa,Cartao_Credito
M,5,A,1,1,90.68,3,26-35,Beleza,Dinheiro
F,4,C,2,0,498.54,2,18-25,Roupas,Cartao_Credito
F,3,A,1,0,312.5,1,18-25,Eletronicos,Dinheiro
F,7,B,2,0,75.86,5,36-45,Brinquedos,Dinheiro
M,15,A,0,1,326.68,3,51-55,Eletronicos,Boleto
M,14,C,1,0,102.73,5,51-55,Casa,Dinheiro
M,17,C,3,0,114.59,2,36-45,Roupas,Cartao_Credito
F,16,C,2,0,122.03,4,51-55,Casa,Boleto
M,6,C,3,0,131.89,2,18-25,Alimentos,PIX
M,16,C,3,1,63.75,2,0-17,Alimentos,Boleto
M,4,B,1,1,124.66,5,26-35,Alimentos,Cartao_Debito
M,11,B,2,1,189.26,5,51-55,Alimentos,PIX
F,1,B,1,0,446.8,4,0-17,Eletronicos,Cartao_Debito
M,4,C,3,1,263.06,5,18-25,Eletronicos,Boleto
M,19,C,1,1,118.84,2,51-55,Beleza,PIX
F,12,C,4,0,278.91,2,36-45,Beleza,Dinheiro
M,2,C,3,0,406.98,4,18-25,Brinquedos,Boleto
F,13,A,1,1,223.4,2,46-50,Alimentos,Dinheiro
F,16,B,1,0,180.56,4,51-55,Brinquedos,Dinheiro
F,3,B,4,0,125.37,4,26-35,Casa,Dinheiro
M,12,C,4,1,181.8,2,46-50,Beleza,Dinheiro
M,9,B,1,0,472.05,3,26-35,Esportes,Cartao_Credito
M,8,A,4,0,191.9,4,36-45,Brinquedos,Cartao_Debito
M,8,A,3,1,248.23,2,36-45,Beleza,Dinheiro
M,2,B,2,0,419.51,4,18-25,Eletronicos,PIX
M,5,C,4,1,143.8,5,18-25,Eletronicos,Cartao_Debito
M,1,A,4,0,101.81,1,18-25,Beleza,Dinheiro
F,9,B,2,0,392.79,3,26-35,Brinquedos,Cartao_Credito
M,15,C,1,1,338.05,2,36-45,Esportes,Cartao_Credito
M,9,C,3,0,139.55,2,26-35,Beleza,Dinheiro
F,19,B,0,1,132.41,4,51-55,Alimentos,Cartao_Debito
M,6,B,2,1,170.59,2,36-45,Alimentos,PIX
F,15,B,4,1,86.72,3,36-45,Beleza,PIX
F,7,B,2,1,55.86,5,26-35,Roupas,Cartao_Credito
M,7,B,3,1,168.46,1,46-50,Roupas,PIX
M,8,B,3,0,214.91,4,36-45,Esportes,Cartao_Debito
M,7,A,1,1,336.59,3,26-35,Eletronicos,Boleto
F,6,B,1,1,338.6,5,51-55,Esportes,Boleto
F,20,A,1,1,318.71,3,55+,Eletronicos,Boleto
M,8,A,1,0,61.15,1,26-35,Beleza,PIX
M,20,A,1,0,172.12,4,18-25,Alimentos,Cartao_Credito
F,2,B,0,0,89.64,3,18-25,Beleza,Cartao_Credito
M,12,B,4,1,382.77,1,46-50,Casa,Boleto
M,11,B,1,1,54.05,2,36-45,Beleza,Cartao_Credito
M,11,B,3,1,57.53,4,26-35,Alimentos,PIX
M,3,A,0,1,293.71,3,26-35,Esportes,Cartao_Debito
F,11,C,0,1,220.06,5,51-55,Brinquedos,Boleto
F,16,C,0,0,419.61,4,51-55,Eletronicos,Boleto
F,11,B,2,1,137.58,2,36-45,Roupas,Cartao_Debito
M,12,B,4,0,580.68,2,46-50,Eletronicos,PIX
F,2,B,1,1,161.76,5,26-35,Alimentos,Cartao_Credito
M,15,A,3,1,129.83,2,51-55,Alimentos,Boleto
F,3,C,0,1,175.9,3,26-35,Roupas,PIX
M,4,B,2,1,171.15,3,26-35,Alimentos,PIX
M,8,A,0,0,242.61,3,26-35,Alimentos,PIX
M,13,A,2,1,69.62,3,51-55,Eletronicos,Dinheiro
F,18,C,1,1,143.52,4,26-35,Alimentos,Dinheiro
M,16,C,1,0,87.54,1,46-50,Alimentos,Boleto
M,0,A,0,1,240.71,5,0-17,Alimentos,Dinheiro
M,20,A,4,1,71.38,3,51-55,Brinquedos,PIX
M,19,A,4,1,159.6,2,46-50,Beleza,Cartao_Debito
F,7,B,1,0,683.04,2,26-35,Esportes,Cartao_Debito
M,0,A,4,1,78.94,1,0-17,Beleza,Cartao_Debito
F,19,B,4,0,618.08,4,51-55,Casa,Cartao_Credito
F,7,C,0,1,166.54,2,26-35,Alimentos,Cartao_Credito
M,5,B,0,0,32.43,2,0-17,Eletronicos,Cartao_Debito
F,12,C,4,0,150.91,3,46-50,Beleza,Dinheiro
F,3,C,2,1,382.51,5,0-17,Esportes,Boleto
M,5,A,3,1,145.7,4,36-45,Eletronicos,Cartao_Debito
M,17,B,0,0,300.8,2,55+,Eletronicos,Boleto
M,15,B,1,0,225.67,3,36-45,Alimentos,PIX
M,10,A,4,1,161.96,5,46-50,Eletronicos,PIX
M,4,B,4,0,167.83,2,18-25,Beleza,Cartao_Debito
F,3,A,4,1,205.32,3,0-17,Brinquedos,Dinheiro
M,5,B,1,0,120.48,4,18-25,Esportes,PIX
F,5,C,2,1,121.03,1,26-35,Beleza,PIX
M,11,A,4,0,304.42,4,36-45,Eletronicos,PIX
M,16,B,4,0,196.72,5,46-50,Alimentos,PIX
M,9,A,1,1,43.24,2,36-45,Alimentos,PIX
M,20,B,3,0,433.52,3,55+,Esportes,Cartao_Credito
M,20,C,3,1,636.35,3,36-45,Esportes,PIX
F,17,B,4,1,228.62,4,51-55,Roupas,Dinheiro
M,3,B,4,0,90.2,3,18-25,Casa,Cartao_Debito
F,14,A,3,0,472.31,2,46-50,Eletronicos,Cartao_Credito
M,1,A,3,1,455.39,1,26-35,Eletronicos,Cartao_Credito
M,1,B,1,1,434.47,3,55+,Eletronicos,Cartao_Debito
M,16,A,1,0,183.61,1,55+,Eletronicos,Cartao_Debito
M,15,A,0,0,75.15,5,51-55,Alimentos,Dinheiro
M,6,A,4,1,276.67,3,26-35,Eletronicos,Cartao_Credito
M,14,B,0,1,455.2,2,51-55,Esportes,Cartao_Credito
M,18,C,0,1,154.93,2,55+,Alimentos,Dinheiro
F,8,C,0,1,510.82,1,36-45,Beleza,Cartao_Credito
M,1,B,1,0,479.98,3,0-17,Eletronicos,Cartao_Credito
F,4,A,3,0,105.27,4,0-17,Eletronicos,Cartao_Credito
F,3,A,4,0,376.3,4,26-35,Eletronicos,Cartao_Credito
F,4,A,4,0,549.6,1,18-25,Beleza,Dinheiro
F,8,A,4,1,269.51,3,46-50,Alimentos,Boleto
M,4,B,2,0,443.37,1,0-17,Esportes,Cartao_Credito
M,15,A,3,0,25.15,5,51-55,Beleza,Dinheiro
F,18,B,3,0,340.79,2,51-55,Beleza,PIX
F,7,A,4,0,266.75,2,26-35,Eletronicos,PIX
F,15,B,2,1,261.8,4,51-55,Casa,Dinheiro
M,2,B,1,1,142.96,5,18-25,Casa,PIX
F,7,B,2,0,326.46,2,26-35,Casa,Cartao_Credito
M,16,A,0,0,138.28,2,46-50,Eletronicos,PIX
F,17,C,1,1,98.09,5,36-45,Brinquedos,Dinheiro
M,20,A,2,1,950.27,5,55+,Esportes,Boleto
M,17,C,0,1,157.9,5,51-55,Alimentos,Cartao_Debito
M,14,C,1,0,81.57,1,36-45,Roupas,Dinheiro
M,16,C,3,0,270.19,1,51-55,Alimentos,Dinheiro
F,10,A,3,0,107.19,5,26-35,Eletronicos,PIX
M,0,A,2,1,252.75,2,51-55,Eletronicos,PIX
M,11,B,2,0,31.34,4,46-50,Eletronicos,Cartao_Debito
M,18,B,0,1,555.49,4,51-55,Eletronicos,Cartao_Credito
M,9,C,3,0,137.2,1,36-45,Alimentos,Dinheiro
F,16,A,4,0,183.67,5,18-25,Casa,Cartao_Credito
M,18,A,1,0,311.3,3,55+,Eletronicos,Cartao_Credito
M,15,A,4,0,329.6,3,46-50,Eletronicos,Cartao_Credito
F,10,A,0,0,48.65,4,26-35,Brinquedos,Dinheiro
M,6,A,3,0,375.3,3,26-35,Esportes,Boleto
F,7,C,1,1,247.84,3,26-35,Alimentos,PIX
M,12,C,2,1,280.07,4,46-50,Eletronicos,Dinheiro
M,14,C,3,1,295.1,3,51-55,Brinquedos,Dinheiro
F,3,C,4,0,347.04,3,18-25,Esportes,Cartao_Debito
F,11,A,0,0,201.7,5,26-35,Beleza,Dinheiro
F,12,B,0,0,371.68,3,36-45,Roupas,Cartao_Debito
M,2,C,2,1,126.59,4,36-45,Casa,Dinheiro
M,16,A,3,1,208.5,4,55+,Casa,Boleto
F,10,A,4,1,168.21,5,46-50,Beleza,PIX
M,15,B,4,0,191.73,3,36-45,Beleza,Boleto
M,6,A,1,0,112.31,5,55+,Eletronicos,Dinheiro
M,19,B,4,1,165.87,3,55+,Eletronicos,PIX
F,18,A,0,0,530.14,3,51-55,Eletronicos,Dinheiro
F,1,A,2,0,473.24,5,0-17,Brinquedos,Cartao_Credito
M,16,A,2,1,41.05,2,36-45,Esportes,Dinheiro
F,10,B,3,1,282.31,3,26-35,Eletronicos,Cartao_Credito
F,10,B,2,0,18.56,5,46-50,Brinquedos,Cartao_Credito
F,12,B,1,1,233.34,3,36-45,Roupas,PIX
M,6,B,1,0,162.89,4,26-35,Brinquedos,Cartao_Credito
F,4,C,4,0,211.05,3,26-35,Beleza,Boleto
M,12,B,0,1,46.73,1,46-50,Roupas,Cartao_Debito
M,4,B,4,0,160.01,1,18-25,Beleza,PIX
F,15,B,1,1,125.55,1,51-55,Beleza,PIX
F,10,A,3,1,359.55,3,36-45,Casa,PIX
M,10,A,1,0,296.13,4,26-35,Eletronicos,PIX
M,12,C,0,1,206.38,2,46-50,Alimentos,Dinheiro
F,9,B,3,0,138.73,4,26-35,Alimentos,Cartao_Debito
M,17,B,0,1,109.58,3,51-55,Alimentos,Cartao_Credito
M,19,A,0,0,156.67,2,0-17,Eletronicos,Cartao_Debito
M,6,B,1,0,264.97,2,18-25,Eletronicos,Cartao_Debito
F,11,B,3,1,104.08,5,36-45,Beleza,PIX
M,9,A,4,0,226.91,5,51-55,Eletronicos,Boleto
F,12,A,3,1,363.19,3,36-45,Eletronicos,Boleto
M,5,C,3,1,235.19,1,18-25,Beleza,Dinheiro
F,9,B,1,1,304.9,3,46-50,Beleza,Cartao_Credito
M,14,A,0,1,29.91,1,51-55,Eletronicos,PIX
M,2,C,1,0,214.7,5,18-25,Casa,Dinheiro
M,4,A,1,1,128.85,1,0-17,Alimentos,Cartao_Debito
M,7,A,1,0,418.59,3,26-35,Eletronicos,Boleto
M,8,B,4,1,673.21,4,36-45,Eletronicos,Cartao_Credito
F,4,A,0,0,122.7,1,18-25,Beleza,Dinheiro
M,19,B,2,0,170.5,3,55+,Eletronicos,Dinheiro
F,9,B,1,0,159.06,1,18-25,Roupas,PIX
M,6,C,4,0,287.85,4,46-50,Eletronicos,PIX
M,8,B,1,1,95.1,3,26-35,Alimentos,Dinheiro
F,13,C,1,0,219.42,1,55+,Beleza,Dinheiro
M,6,B,0,1,137.48,2,26-35,Beleza,Boleto
M,6,C,3,1,201.42,2,26-35,Beleza,Dinheiro
M,9,A,3,1,251.4,2,36-45,Eletronicos,Dinheiro
M,1,B,2,1,837.07,1,0-17,Esportes,Boleto
F,2,C,4,1,38.59,2,0-17,Casa,Cartao_Debito
F,6,C,3,1,139.43,2,26-35,Brinquedos,Dinheiro
F,3,C,4,0,283.95,3,18-25,Eletronicos,Cartao_Debito
F,4,C,0,1,199.93,4,18-25,Beleza,Cartao_Debito
F,5,A,1,0,204.05,4,26-35,Roupas,Dinheiro
M,20,A,1,1,386.75,2,51-55,Eletronicos,Dinheiro
M,13,C,3,0,150.13,3,0-17,Beleza,Dinheiro
F,11,C,0,0,257.43,2,55+,Eletronicos,Dinheiro
F,0,B,3,0,109.43,5,18-25,Alimentos,Cartao_Debito
M,10,A,1,1,150.57,1,51-55,Esportes,Cartao_Debito
F,1,B,3,0,116.46,1,18-25,Esportes,PIX
F,11,B,4,0,362.07,1,0-17,Casa,Boleto
M,17,A,2,0,468.58,1,55+,Eletronicos,Cartao_Credito
M,12,B,0,0,271.25,4,46-50,Eletronicos,Cartao_Debito
F,11,C,3,1,277.92,5,36-45,Eletronicos,Cartao_Debito
M,20,B,0,0,310.35,4,36-45,Brinquedos,Cartao_Credito
M,17,A,1,1,374.39,2,51-55,Eletronicos,Boleto
F,9,B,0,0,117.21,3,26-35,Roupas,Cartao_Debito
M,9,A,4,0,130.81,2,26-35,Esportes,PIX
M,18,A,2,0,221.15,5,55+,Alimentos,PIX
M,14,C,0,0,123.73,1,18-25,Eletronicos,Dinheiro
M,0,A,2,0,112.79,2,46-50,Eletronicos,Boleto
F,3,B,3,1,138.64,4,26-35,Alimentos,Cartao_Debito
F,9,A,0,0,141.51,1,36-45,Alimentos,Cartao_Debito
M,9,B,1,1,799.14,3,51-55,Esportes,Dinheiro
M,2,C,0,0,205.44,2,18-25,Eletronicos,Cartao_Debito
M,9,A,2,0,148.91,5,36-45,Casa,Cartao_Credito
F,18,A,0,1,257.73,2,51-55,Beleza,Dinheiro
F,19,C,2,1,66.74,3,51-55,Eletronicos,PIX
M,3,B,1,1,89.03,5,18-25,Brinquedos,Cartao_Debito
M,14,B,2,1,433.67,4,46-50,Eletronicos,Cartao_Credito
M,0,B,1,0,159.25,2,18-25,Beleza,PIX
M,5,B,2,0,158.45,2,26-35,Eletronicos,PIX
F,11,C,0,0,205.71,1,0-17,Brinquedos,PIX
F,0,C,1,0,299.87,5,18-25,Casa,Boleto
M,2,A,1,0,380.73,4,18-25,Esportes,Cartao_Credito
M,1,B,3,1,391.72,1,46-50,Esportes,Boleto
M,7,B,1,1,159.53,1,26-35,Eletronicos,PIX
M,9,C,3,1,606.89,1,26-35,Beleza,Cartao_Debito
M,7,A,2,1,287.44,5,26-35,Eletronicos,Boleto
M,15,B,0,1,241.77,2,51-55,Casa,Cartao_Debito
M,18,C,1,0,265.73,2,51-55,Esportes,Dinheiro
F,13,A,0,0,174.79,5,51-55,Eletronicos,Dinheiro
M,9,A,3,0,211.39,2,36-45,Casa,PIX
F,17,B,2,1,323.32,3,51-55,Brinquedos,Boleto
F,6,B,2,0,60.1,4,26-35,Beleza,Dinheiro
F,16,B,1,0,208.82,3,51-55,Roupas,Dinheiro
F,15,B,3,0,236.92,5,0-17,Beleza,PIX
F,15,C,2,1,307.87,4,51-55,Esportes,Boleto
F,18,B,3,1,130.11,1,51-55,Beleza,Cartao_Debito
M,16,B,2,1,168.25,1,51-55,Eletronicos,Cartao_Credito
M,0,B,0,0,537.69,4,0-17,Eletronicos,Boleto
M,11,A,4,0,68.27,2,55+,Eletronicos,Dinheiro
F,13,A,2,0,437.25,3,46-50,Esportes,PIX
M,10,B,3,0,386.84,5,46-50,Esportes,Cartao_Credito
F,4,C,1,1,79.84,1,18-25,Alimentos,Dinheiro
M,15,A,3,0,322.0,4,51-55,Esportes,Boleto
M,2,C,2,0,312.05,2,18-25,Eletronicos,Cartao_Credito
F,11,C,4,0,171.44,5,26-35,Beleza,PIX
F,16,A,0,0,103.61,2,51-55,Alimentos,Dinheiro
F,19,B,3,0,274.63,2,55+,Beleza,PIX
M,3,B,4,0,192.07,3,18-25,Roupas,Cartao_Debito
F,10,B,2,0,81.88,3,26-35,Beleza,PIX
M,14,C,0,1,348.07,1,46-50,Eletronicos,Cartao_Credito
F,16,A,1,1,377.89,2,36-45,Eletronicos,Cartao_Credito
F,11,A,0,1,245.23,5,36-45,Alimentos,Cartao_Debito
M,20,B,1,1,94.64,2,51-55,Beleza,Boleto
M,19,A,2,1,903.05,1,51-55,Eletronicos,Cartao_Credito
M,12,C,1,1,226.06,4,46-50,Eletronicos,Dinheiro
F,20,A,2,1,151.45,1,55+,Casa,Dinheiro
F,11,A,0,1,270.29,2,46-50,Brinquedos,Dinheiro
F,12,C,3,1,329.5,5,51-55,Casa,Boleto
M,14,B,4,1,254.07,5,46-50,Brinquedos,Dinheiro
F,4,B,4,1,160.08,3,18-25,Beleza,PIX
M,13,A,1,0,181.05,5,46-50,Casa,Dinheiro
M,12,A,1,1,56.4,3,46-50,Alimentos,Cartao_Debito
M,0,A,4,0,69.57,5,0-17,Eletronicos,PIX
M,4,B,1,0,153.28,4,26-35,Brinquedos,Dinheiro
M,10,A,3,1,39.91,4,46-50,Esportes,Cartao_Debito
M,14,C,4,1,106.24,1,36-45,Alimentos,Cartao_Credito
M,2,B,2,1,297.09,4,0-17,Eletronicos,Cartao_Debito
M,10,A,0,0,261.74,1,46-50,Brinquedos,PIX
M,18,A,2,1,261.96,3,51-55,Roupas,Dinheiro
F,8,B,3,1,562.36,1,26-35,Eletronicos,Boleto
F,12,B,2,1,51.97,3,36-45,Beleza,Cartao_Credito
F,9,B,1,1,147.5,4,46-50,Beleza,Dinheiro
F,10,A,1,1,265.72,3,36-45,Roupas,Cartao_Debito
F,3,B,2,0,70.69,1,18-25,Alimentos,Dinheiro
M,5,A,2,0,278.92,4,18-25,Eletronicos,Cartao_Debito
F,13,A,2,0,147.95,5,46-50,Brinquedos,Dinheiro
M,5,A,4,1,92.0,5,18-25,Eletronicos,PIX
M,14,C,2,1,111.84,4,36-45,Casa,Cartao_Debito
